Name,Type,State,County,Latitude,Longitude
Kol Community Centre Primary School,PRI,Unity,Panyinjiar,7.520425,30.3524665
Kuernyuon Primary School,PRI,Jonglei,Akobo,8.1594,32.238132
Kuer Primary School,PRI,Jonglei,Akobo,8.162167,32.382
Kep Ret Primary School,PRI,Lakes,Rumbek North,7.2154,29.674
Akewich Primary School,PRI,Northern Bahr el Ghazal,Aweil West,8.840072333,27.38975533
Kuel Nyakong Primary School.,PRI,Jonglei,Uror (Wunror),8.12455,32.044048
kafuki Primary School,PRI,Central Equatoria,Juba,4.9349,30.587566
Kai Gai Primary School,PRI,Unity,Leer,8.222767,30.210882
Kharmodir Girls Basic,PRI,Western Bahr el Ghazal,Wau,7.691567,28.000433
Kunyuk Girls Primary School,PRI,Warrap,Gogrial West,8.760345286,28.15426457
Kagelu Primary School,PRI,Central Equatoria,Yei River,4.04885,30.611532
Kalvario Girls Primary,PRI,Western Bahr el Ghazal,Wau,7.720454,27.98908775
Kegiko East Primary School,PRI,Central Equatoria,Morobo,3.828363833,30.722275
Akatgol Church (PCSS) Primary School,PRI,Central Equatoria,Juba,4.8330266,31.6651966
Karokomuge Primary Schoo,PRI,Eastern Equatoria,Kapoeta North,5.076883,33.559319
Kuruyuk Girls Primary School.,PRI,Warrap,Twic,9.135332444,28.18868711
Kak Girls Primary School,PRI,Lakes,Rumbek North,7.678625,29.6419
Kuergeng Primary School.,PRI,Unity,Guit,8.902567,30.030233
Kagwada Primary,PRI,Central Equatoria,Juba,4.696133,30.93265
Kuany-Goi Primary School,PRI,Warrap,Tonj North,8.176567,28.648018
Khartoumbak Basic School,PRI,Upper Nile,Maban,9.9587,33.929006
Akhoch Primary School,PRI,Northern Bahr el Ghazal,Aweil West,8.6402566,27.2525764
Khor Modir Girls Evening Primary,PRI,Western Bahr el Ghazal,Wau,7.7098165,27.993299
Khorshamam Primary School,PRI,Western Bahr el Ghazal,Raja,8.49685,25.667566
Kuel Chok Primary,PRI,Warrap,Tonj South,7.222617,28.611584
Khalid Ibn Elwalid Sec. School,SEC,Western Bahr el Ghazal,Raja,8.475834667,25.55363042
Khap Complex Primary School,PRI,Lakes,Yirol East,6.715133,30.448517
Wunrak Primary School,PRI,Northern Bahr el Ghazal,Aweil East,9.051937625,27.37396888
Kerepi Child Hope Primary,PRI,Eastern Equatoria,Magwi,3.831602833,31.958733
Khorjamus Primary School,PRI,Western Bahr el Ghazal,Jur River,7.6946,28.1269
Kharmarial Primary School,PRI,Northern Bahr el Ghazal,Aweil East,9.1705665,27.3823455
Khor Ghana Basic Education,PRI,Western Bahr el Ghazal,Wau,7.787083,27.155899
Khorkorongo Basic,PRI,Western Bahr el Ghazal,Wau,7.950166207,28.06916507
KHOR BUGA PRIMARY SCHOOL,PRI,Western Bahr el Ghazal,Raja,8.475834667,25.55363042
Kolondiro Primary School,PRI,Central Equatoria,Lainya,4.203930667,30.72064167
Karika II Primary School,PRI,Western Equatoria,Mundri West,5.2272964,30.1867668
Kinyiba Girls Primary School,PRI,Central Equatoria,Kajo-Keji,3.84475,31.5646
Kala II Primary School,PRI,Central Equatoria,Kajo-Keji,3.9639,31.30695
St. Paul Secondary,SEC,Central Equatoria,Yei River,4.517129816,30.60963066
Kueryiek Primary School,PRI,Unity,Mayom,9.02615,28.846201
Kanajak Secondary School,PRI,Northern Bahr el Ghazal,Aweil East,9.1606585,27.624316
Kajo-Keji Town Primary School,PRI,Central Equatoria,Kajo-Keji,3.89175,31.666533
Kajokeji Secondary School,SEC,Central Equatoria,Kajo-Keji,3.894075,31.66208333
KuaJok BOYS Primary School,PRI,Warrap,Gogrial West,7.755077667,28.191147
Kajiik Primary School,PRI,Northern Bahr el Ghazal,Aweil North,9.1684,27.137783
Kajiko Primary School,PRI,Central Equatoria,Yei River,3.857933,30.599951
Kunjuuk Primary School,PRI,Northern Bahr el Ghazal,Aweil East,9.000933,27.495768
Y- Lank Primary School,PRI,Central Equatoria,Juba,4.698508,31.293958
keji Juba primary,PRI,Central Equatoria,Terekeka,5.309383,31.751699
Akoka Primary School,PRI,Upper Nile,Akoka,9.73845,32.174068
Kikilai Primary School,PRI,Eastern Equatoria,Budi,4.384568525,32.86773956
Kuok Primary School,PRI,Unity,Mayiandit,8.39445,30.053232
Kapuki Secondary School,SEC,Central Equatoria,Juba,4.853290368,31.55675447
Kokori Primary School,PRI,Western Equatoria,Mvolo,6.84121,30.7579895
Kuom Kat Primary,PRI,Northern Bahr el Ghazal,Aweil Centre,8.4717,28.740917
Kaikuiny Primary,PRI,Jonglei,Akobo,8.091983,32.391449
Kala I Primary School,PRI,Central Equatoria,Kajo-Keji,3.797831807,31.34565338
Akulo Primary,PRI,Western Bahr el Ghazal,Jur River,8.007211111,27.73421689
Kalachamixed Primary School,PRI,Eastern Equatoria,Kapoeta East,4.680633,34.105717
Kaldo Primary School,PRI,Eastern Equatoria,Kapoeta East,4.69235,34.115952
Kuileny Primary School,PRI,Warrap,Twic,9.124935471,28.40741571
Akoljal Primary School,PRI,Lakes,Rumbek Centre,6.54314575,29.562691
Kelero Primary,PRI,Western Bahr el Ghazal,Jur River,8.007211111,27.73421689
