school_name,name_capital letter,"name_en,C,80",school_type1,school_type2,school_type3,school_type4,school_type5,"building,C,80","operator_t,C,80",operator_type,"capacity_p,C,80","addr_full,C,80","addr_city,C,80","source,C,80","osm_id,N,18,0","osm_type,C,80"
Lerwa primary school,Lerwa Primary School,,0,Primary School,0,0,0,,,0,,,Juluhwe,www.ubos.org,4011863946,nodes
Light house school,Light House School,,0,0,0,0,Other or Unknown,,,0,,,Adua,www.ubos.org,4011863944,nodes
Limidia High Secondary School,Limidia High Secondary School,,0,0,0,Secondary School,0,,,0,,,,,7256332945,nodes
Limidia Primary School,Limidia Primary School,,0,Primary School,0,0,0,,,0,,,Elegu,www.ubos.org,3961481602,nodes
Liri Primary School,Liri Primary School,,0,Primary School,0,0,0,,,0,,,Kweyo,www.ubos.org,3961481605,nodes
Liwa primary school,Liwa Primary School,,0,Primary School,0,0,0,,,0,,,Minze,www.ubos.org,3961481606,nodes
Logoa Primary School,Logoa Primary School,,0,Primary School,0,0,0,,,0,,,Gbari,www.ubos.org,3961481603,nodes
Logoba Primary School,Logoba Primary School,,0,Primary School,0,0,0,,,0,,,Pamonye,www.ubos.org,3961481604,nodes
Logoba Secondary School,Logoba Secondary School,,0,0,0,Secondary School,0,,,0,,,Masaloa East,www.ubos.org,3978521602,nodes
Lokwa Primary School,Lokwa Primary School,,0,Primary School,0,0,0,,public,Public,,,Kaminga,www.ubos.org,3991260460,nodes
Lokwa Secondary School,Lokwa Secondary School,,0,0,0,Secondary School,0,,public,Public,,,Abachi,www.ubos.org,3981533357,nodes
Lunguma Primary School,Lunguma Primary School,Pibor boys primary school,0,Primary School,0,0,0,,,0,,,,,13351089536,nodes
Lurunya Primary School,Lurunya Primary School,,0,Primary School,0,0,0,,public,Public,,,Logoa,www.ubos.org,3999202747,nodes
lutaya primary school,Lutaya Primary School,,0,Primary School,0,0,0,,public,Public,,,,,7172914211,nodes
Mada Primary School,Mada Primary School,,0,Primary School,0,0,0,,,0,,,,,5414590522,nodes
Magwi Central Primary School,Magwi Central Primary School,,0,Primary School,0,0,0,,,0,,,Lamuribenge A,www.ubos.org,4025358122,nodes
mahat primary school,Mahat Primary School,,0,Primary School,0,0,0,,public,Public,,,Pobar Central,www.ubos.org,4025358119,nodes
Majak primary School,Majak Primary School,,0,Primary School,0,0,0,,,0,,,Ramogi North,www.ubos.org,4011877434,nodes
Majak primary School,Majak Primary School,,0,Primary School,0,0,0,,,0,,,Indridri,www.ubos.org,4011877438,nodes
Majak primary school,Majak Primary School,,0,Primary School,0,0,0,,public,Public,,,Lokujo,www.ubos.org,3991255149,nodes
Makuen Agap p. school,Makuen Agap P. School,,0,Primary School,0,0,0,,,0,,,Lokwa,www.ubos.org,4011863931,nodes
Malualbai p school,Malualbai P School,,0,Primary School,0,0,0,,,0,,,Maduga,www.ubos.org,4011863920,nodes
Mama Alice Nursery school,Mama Alice Nursery School,,Nursery School,0,0,0,0,,,0,,,Liri,www.ubos.org,4011863929,nodes
Mama Kezia primary school,Mama Kezia Primary School,,0,Primary School,0,0,0,,,0,,,Kololo,www.ubos.org,3991255154,nodes
Mandi primary school,Mandi Primary School,,0,Primary School,0,0,0,,public,Public,,,Fataha,www.ubos.org,3999202723,nodes
Masaloa Primary School,Masaloa Primary School,,0,Primary School,0,0,0,,,0,,,Elenderea,www.ubos.org,4011863947,nodes
Matu Primary School,Matu Primary School,,0,Primary School,0,0,0,,,0,,,,,3456334859,nodes
Mbara Primary school,Mbara Primary School,,0,Primary School,0,0,0,,,0,,,,,9035439849,nodes
Medewu primary school,Medewu Primary School,,0,Primary School,0,0,0,,,0,,,,,9079619358,nodes
Mena Primary School,Mena Primary School,,0,Primary School,0,0,0,,,0,,,Wabanga,www.ubos.org,4009758590,nodes
Mentor primary school,Mentor Primary School,,0,Primary School,0,0,0,,ngo,Ngo,,,,survey,2785620009,nodes
Merwa Primary School,Merwa Primary School,,0,Primary School,0,0,0,,,0,,,,,5434811521,nodes
Merwa Progressive College,Merwa Progressive College,,0,Primary School,College,0,0,,,0,,,,,3536767652,nodes
Metu Secondary School,Metu Secondary School,,0,0,0,Secondary School,0,,,0,,,,,6349361479,nodes
Mianga Nursery School,Mianga Nursery School,,Nursery School,0,0,0,0,,,0,,,,,6349361480,nodes
Mijale Amazing Grace Baptist Nursery And Primary School,Mijale Amazing Grace Baptist Nursery And Primary School,,Nursery School,Primary School,0,0,0,,,0,,,,HOT-Uganda,5588234993,nodes
Mijale Primary School,Mijale Primary School,,0,Primary School,0,0,0,,,0,,,,HOT-Uganda,5588234994,nodes
Mijikita Primary School,Mijikita Primary School,,0,Primary School,0,0,0,,,0,,,,HOT-Uganda,5588234992,nodes
Miri mojo primary school,Miri Mojo Primary School,,0,Primary School,0,0,0,,,0,,,,HOT-Uganda,5596056078,nodes
Mitikologa primary school,Mitikologa Primary School,,0,Primary School,0,0,0,,,0,,,,HOT-Uganda,5596056084,nodes
Moyo Army Primary School,Moyo Army Primary School,,0,Primary School,0,0,0,,,0,,,,,6349361481,nodes
Moyo Boys' Primary School,Moyo Boys' Primary School,,0,Primary School,0,0,0,,,0,,,,HOT-Uganda,5596056081,nodes
